,name,rating,reviews,salaries,jobs,ctypes,rated_for
2363,Macquarie Group,3.6,285,3.3k,8,Financial Services | 1k-5k Employees | Forbes Global 2000 | 54 years old | Gurgaon/Gurugram +10 more,
2364,Harjai Computers,4.1,285,1.2k,25,Recruitment | 201-500 Employees | 28 years old | Mumbai +11 more,"Work Life Balance, Work Satisfaction, Job Security"
2365,Invesco,4.1,285,2.3k,36,Management Consulting | 1k-5k Employees | Forbes Global 2000 | 88 years old | Hyderabad/Secunderabad +6 more,"Work Life Balance, Company Culture, Job Security"
2366,Broadcom,3.6,285,3.3k,6,Semiconductors | 1k-5k Employees | Forbes Global 2000 | 47 years old | Hyderabad/Secunderabad +8 more,Salary & Benefits
2367,CommScope,3.8,285,2.4k,26,Telecom | 1k-5k Employees | 47 years old | Goa +14 more,"Work Life Balance, Company Culture, Salary & Benefits"
2368,Kogta Financial,4.3,285,1.2k,11,NBFC | 1k-5k Employees | Public | 27 years old | Noida +86 more,"Work Life Balance, Company Culture, Job Security"
2369,Elecon Engineering,4.2,285,1.4k,7,Electrical Equipment | 501-1k Employees | Public | 72 years old | Anand +20 more,"Work Life Balance, Skill Development / Learning, Company Culture"
2370,Global Healthcare Billing Partners,3.5,285,2.2k,77,BPO | 1k-5k Employees | 24 years old | Chennai +4 more,
2371,Jyoti CNC Automation,3.9,284,1.2k,5,Industrial Machinery | 501-1k Employees | Public | 34 years old | Rajkot +26 more,"Job Security, Skill Development / Learning, Company Culture"
2372,Wonderla Holidays,4.6,284,831,36,Hospitality | 501-1k Employees | Public | 23 years old | Bengaluru/Bangalore +11 more,"Company Culture, Work Satisfaction, Job Security"
2373,Gilbarco Veeder Root,3.7,284,1.8k,7,Industrial Machinery | 201-500 Employees | 158 years old | Noida +36 more,
2374,Johnson Matthey,3.9,284,1.6k,3,501-1k Employees | Forbes Global 2000 | 206 years old | Gurgaon/Gurugram +15 more,"Work Life Balance, Company Culture"
2375,Western Refrigeration,4.0,284,1.6k,5,Industrial Machinery | 501-1k Employees | 51 years old | Mumbai +30 more,"Job Security, Salary & Benefits, Skill Development / Learning"
2376,Indorama,4.0,284,1.4k,6,Fashion & Textile | 51-200 Employees | Forbes Global 2000 | 48 years old | Haldia +28 more,Job Security
2377,Bussan Auto Finance,4.5,284,1k,--,Financial Services | 201-500 Employees | 89 years old | Noida +43 more,"Company Culture, Salary & Benefits, Work Satisfaction"
2378,Jubilant Agri and Consumer Products,4.0,284,1.2k,--,Chemicals | 501-1k Employees | 13 years old | Noida +52 more,"Job Security, Salary & Benefits, Work Life Balance"
2379,SOLAR INDUSTRIES INDIA,3.8,284,1.9k,1,Chemicals | 1k-5k Employees | Public | 28 years old | Nagpur +29 more,Job Security
2380,Chambal Fertilisers And Chemicals,4.0,284,1.4k,--,Agro Chemicals | 1k-5k Employees | Public | 38 years old | Kota +44 more,"Salary & Benefits, Job Security, Skill Development / Learning"
2381,Kcc Buildcon,4.1,284,1.4k,1,Engineering & Construction | 201-500 Employees | 14 years old | Gurgaon/Gurugram +45 more,"Work Satisfaction, Work Life Balance, Company Culture"
2382,Sunwoda,4.2,284,1.8k,--,Electronics Manufacturing | 201-500 Employees | 26 years old | Greater Noida +4 more,"Job Security, Company Culture, Work Life Balance"
2383,XL Health,4.3,283,1.4k,--,Insurance | 11-50 Employees | 26 years old | Bangalore/Bengaluru +3 more,"Job Security, Company Culture, Salary & Benefits"
2384,Time Technoplast,3.6,283,1.9k,9,1k-5k Employees | Public | 31 years old | Mumbai +28 more,
2385,CodeClouds,4.5,283,741,1,Software Product | 201-500 Employees | 14 years old | Pipitea +4 more,"Company Culture, Work Life Balance, Skill Development / Learning"
2386,NetApp,3.9,283,3.1k,18,IT Services & Consulting | 1k-5k Employees | Forbes Global 2000 | 31 years old | San Jose +5 more,"Work Life Balance, Company Culture, Salary & Benefits"
2387,Webskitters,4.5,283,431,6,IT Services & Consulting | 501-1k Employees | 13 years old | Kolkata +3 more,"Skill Development / Learning, Company Culture, Job Security"
2388,VDA Infosolutions,3.6,283,1.6k,5,IT Services & Consulting | 201-500 Employees | 13 years old | Mumbai +24 more,
2389,Katerra,3.4,283,2.2k,--,Engineering & Construction | 501-1k Employees | Startup | 8 years old | Menlo Park +14 more,"Job Security, Promotions / Appraisal"
2390,Laxmi Organic Industries,4.0,283,1.5k,1,Chemicals | 201-500 Employees | Public | 31 years old | Mumbai +11 more,"Job Security, Skill Development / Learning, Company Culture"
2391,Epiroc,3.9,283,1.9k,1,Industrial Machinery | 1k-5k Employees | Public | 150 years old | Stockholm +21 more,"Work Life Balance, Job Security"
2392,Eisai Pharmaceuticals,4.2,283,1.2k,5,Pharma | 51-200 Employees | Public | 19 years old | Tokyo +17 more,"Work Life Balance, Company Culture, Salary & Benefits"
2393,Aditya Birla Minacs,4.4,283,545,--,IT Services & Consulting | 10k-50k Employees | 42 years old | Bellandur +11 more,"Skill Development / Learning, Company Culture, Work Satisfaction"
2394,Wipro GE Health Care,4.1,283,1.8k,--,IT Services & Consulting | 1k-5k Employees | 131 years old | Chicago +30 more,"Skill Development / Learning, Company Culture, Work Satisfaction"
2395,Eversendai,3.8,282,1.5k,--,Engineering & Construction | 201-500 Employees | 39 years old | Selangor Darul Ehsan +16 more,
2396,2COMS,3.5,282,1.1k,255,Recruitment | 10k-50k Employees | 24 years old | Kolkata +38 more,
2397,SMEC,4.1,282,1.3k,--,Real Estate | 501-1k Employees | 53 years old | North Sydney +55 more,"Work Life Balance, Company Culture, Salary & Benefits"
2398,Acko General Insurance,3.9,282,1.4k,35,Insurance | 1k-5k Employees | Indian Unicorn | 7 years old | Bengaluru/Bangalore +7 more,Company Culture
2399,Stryker,4.2,282,2.3k,10,Medical Equipment | 1k-5k Employees | Public | 82 years old | Kalamazoo +15 more,"Work Life Balance, Company Culture, Job Security"
2400,Narayana e-Techno School,3.6,281,1.3k,--,Education & Training | 501-1k Employees | 11 years old | Hyderabad +45 more,
2401,Henkel Adhesives Technologies,4.2,281,1.7k,--,Chemicals | 501-1k Employees | 33 years old | Düsseldorf +20 more,"Work Life Balance, Company Culture, Salary & Benefits"
2402,Deluxe Entertainment,3.4,281,2.3k,5,Media & Entertainment | 1k-5k Employees | 108 years old | Hollywood +10 more,"Job Security, Promotions / Appraisal"
2403,Resurgent India,4.7,281,388,23,Investment Banking / Venture Capital / Private Equity | 201-500 Employees | 18 years old | Gurgaon +10 more,"Company Culture, Job Security, Skill Development / Learning"
2404,Tribhovandas Bhimji Zaveri,4.1,281,1k,22,Metals & Mining | 1k-5k Employees | Public | 159 years old | Mumbai +34 more,"Job Security, Work Life Balance, Skill Development / Learning"
2405,IMS People,3.6,281,1.8k,13,Recruitment | 1k-5k Employees | 17 years old | Ahmedabad +19 more,
2406,Indian Immunologicals,4.0,281,1.5k,--,Biotechnology | 1k-5k Employees | Public | 41 years old | Hyderabad/Secunderabad +24 more,"Job Security, Work Life Balance"
2407,LearningMate Solutions,3.8,281,2.7k,13,EdTech | 1k-5k Employees | 22 years old | Mumbai +3 more,Job Security
2408,Chaitanya India Fin Credit,4.0,281,1.1k,64,Financial Services | 5k-10k Employees | 14 years old | Bangalore +104 more,"Company Culture, Work Life Balance, Skill Development / Learning"
2409,Datamatics Business Solutions,3.6,281,1.7k,25,Management Consulting | 1k-5k Employees | Public | 41 years old | Mumbai +7 more,Promotions / Appraisal
2410,Escon Elevators,3.5,280,950,8,Industrial Machinery | 51-200 Employees | 33 years old | Navi Mumbai +13 more,
2411,Kutchina,3.8,280,1.1k,--,Consumer Electronics & Appliances | 201-500 Employees | 20 years old | Kolkata +52 more,Work Life Balance
2412,People Group,3.7,280,1.6k,57,Internet | 1k-5k Employees | 27 years old | Mumbai +27 more,
2413,SUEZ Environnement,4.1,280,1.7k,--,Waste Management | 501-1k Employees | 26 years old | Paris +30 more,"Work Life Balance, Skill Development / Learning, Job Security"
2414,GGS Information Services,3.7,280,2.1k,9,IT Services & Consulting | 501-1k Employees | 35 years old | York +8 more,
2415,Gaurs Group,4.1,280,1.3k,22,Real Estate | 1k-5k Employees | Public | 28 years old | Ghaziabad +8 more,"Work Life Balance, Job Security, Skill Development / Learning"
2416,Mothers Recipe,4.2,280,1.3k,1,Food Processing | 501-1k Employees | 122 years old | Pune +53 more,"Company Culture, Job Security, Work Life Balance"
2417,OnePlus,4.1,280,1.6k,3,Consumer Electronics & Appliances | 1k-5k Employees | Public | 10 years old | Shenzhen +48 more,"Skill Development / Learning, Work Life Balance, Company Culture"
2418,Sahyadri Hospital,4.2,280,1.2k,22,Healthcare | 1k-5k Employees | 19 years old | Pune +6 more,"Job Security, Skill Development / Learning, Company Culture"
2419,Win Medicare,4.0,279,837,1,Pharma | 501-1k Employees | 18 years old | Delhi/NCR +50 more,"Skill Development / Learning, Company Culture, Work Life Balance"
2420,British Petroleum,3.8,279,1.4k,--,Oil & Gas | 1k-5k Employees | Forbes Global 2000 | 114 years old | London +8 more,"Work Life Balance, Salary & Benefits"
2421,MarketStar,3.3,279,1.6k,27,Marketing & Advertising | 1k-5k Employees | 35 years old | Ogden +7 more,"Promotions / Appraisal, Job Security"
2422,S2 Infotech,3.2,279,1.7k,5,Recruitment | 201-500 Employees | Public | 18 years old | Mumbai +48 more,"Job Security, Promotions / Appraisal, Salary & Benefits"
2423,Kuehne + Nagel,4.0,279,1.4k,2,Logistics | 501-1k Employees | 133 years old | Schindellegi +25 more,"Skill Development / Learning, Company Culture, Job Security"
2424,Artemis Health Institute,4.4,279,1k,24,Healthcare | 1k-5k Employees | Public | 16 years old | Gurgaon/Gurugram +10 more,"Job Security, Skill Development / Learning, Company Culture"
2425,London Stock Exchange Group,4.1,279,3.1k,--,5k-10k Employees | 325 years old | London +5 more,"Job Security, Company Culture, Work Life Balance"
2426,HUDL,3.5,279,1.1k,--,Software Product | 501-1k Employees | 17 years old | Lincoln +11 more,"Promotions / Appraisal, Skill Development / Learning"
